#{"t_start": 1772701155.793533, "env_id": "None"}
r,l,t
1284.0,2000,4677.162557
1304.0,2000,4677.162557
1228.0,2000,4677.162557
1268.0,2000,4677.162557
1208.0,2000,4712.601519
1170.0,2000,4712.601519
1234.0,2000,4712.601519
1326.0,2000,4712.601519
1246.0,2000,4748.680147
1254.0,2000,4748.680147
1264.0,2000,4748.680147
1300.0,2000,4748.681147
1226.0,2000,4784.388833
1292.0,2000,4784.388833
1242.0,2000,4784.388833
1190.0,2000,4784.388833
1232.0,2000,4819.996094
1190.0,2000,4819.996094
1288.0,2000,4819.996094
1372.0,2000,4819.996094
1206.0,2000,4855.799361
1190.0,2000,4855.799361
1264.0,2000,4855.799361
1272.0,2000,4855.799361
1270.0,2000,4892.615515
1300.0,2000,4892.615515
1256.0,2000,4892.615515
1238.0,2000,4892.615515
1266.0,2000,4929.37885
1266.0,2000,4929.379932
1244.0,2000,4929.379932
1254.0,2000,4929.379932
1296.0,2000,4965.086042
1184.0,2000,4965.086042
1152.0,2000,4965.086042
1256.0,2000,4965.086042
1212.0,2000,5001.583652
1212.0,2000,5001.583652
1310.0,2000,5001.583652
1282.0,2000,5001.583652
1172.0,2000,5037.246979
1228.0,2000,5037.246979
1224.0,2000,5037.246979
1226.0,2000,5037.246979
1272.0,2000,5072.604783
1326.0,2000,5072.604783
1248.0,2000,5072.604783
1146.0,2000,5072.604783
1302.0,2000,5109.223125
1238.0,2000,5109.223125
1242.0,2000,5109.223125
1228.0,2000,5109.223125
1194.0,2000,5145.202954
1222.0,2000,5145.202954
1230.0,2000,5145.202954
1244.0,2000,5145.202954
1284.0,2000,5180.752594
1264.0,2000,5180.752594
1252.0,2000,5180.752594
1316.0,2000,5180.752594
1262.0,2000,5216.719926
1264.0,2000,5216.719926
1224.0,2000,5216.719926
1284.0,2000,5216.719926
1278.0,2000,5253.409908
1226.0,2000,5253.409908
1236.0,2000,5253.409908
1214.0,2000,5253.409908
1272.0,2000,5289.975303
1230.0,2000,5289.975303
1230.0,2000,5289.975303
1230.0,2000,5289.975303
1218.0,2000,5325.765296
1312.0,2000,5325.765296
1224.0,2000,5325.765296
1286.0,2000,5325.765296
1210.0,2000,5362.268704
1234.0,2000,5362.268704
1194.0,2000,5362.268704
1266.0,2000,5362.268704
1280.0,2000,5397.949901
1310.0,2000,5397.949901
1248.0,2000,5397.949901
1250.0,2000,5397.949901
1346.0,2000,5433.482242
1172.0,2000,5433.482242
1134.0,2000,5433.482242
1232.0,2000,5433.482242
